Group,Task Number,Latency (Edge),Data Transmission Latency (Edge),Throughput (Edge)
1,Task 1,0.002274322509765625,6.7024231,3862688.7621603487
1,Task 2,0.05997405529022217,61.1328125,19021274.39551297
1,Task 3,0.050271587371826174,30.5664062,13976966.488004338
1,Task 4,0.029629735946655272,30.5664062,12883229.126237411
1,Task 5,0.02869260311126709,15.3320312,62748446.4772795
1,Task 6,0.017710041999816895,15.3320312,335078.22512172756
1,Task 7,0.0184151554107666,7.71484375,201147.4180277644
1,Task 8,0.011902337074279784,7.71484375,341278.77542362927
1,Task 9,0.012034716606140137,3.90625,178443.2029448546
1,Task 10,0.008485541343688965,3.90625,289101.5165324247
1,Task 11,0.008024764060974122,1.953125,139015.9324152796
1,Task 12,0.005768003463745117,1.953125,215083.80950931073
1,Task 13,0.006492080688476562,0.9765625,106358.96480910413
1,Task 14,0.005338711738586426,0.9765625,150844.82511560526
1,Task 15,0.004825563430786133,0.48828125,79753.12359804267
1,Task 16,0.004467272758483886,0.48828125,110956.937530071
1,Task 17,0.004373922348022461,0.29296875,59148.98757829669
1,Task 18,0.0036278438568115236,0.29296875,71927.46467740077
1,Task 19,0.005011301040649414,0.1953125,53050.799905928296
1,Task 20,0.004368014335632324,0.1953125,57305.65690528417
1,Task 21,0.001481480598449707,0.000762939453,228.62774426073665
1,Task 22,0.0042125463485717775,0.0457763672,16538.749286947925
1,Task 23,0.0028664302825927735,0.0915527344,23945.877333373934
1,Task 24,0.0031097793579101564,0.183105469,54944.874617783746
1,Task 25,0.00032026290893554687,0.000762939453,675.0004023315921
2,Task 1,0.0017840862274169922,6.7024231,4924089.354536951
2,Task 2,0.055511608123779296,61.1328125,47032516.09522903
2,Task 3,0.046255025863647464,30.5664062,25573296.279679924
2,Task 4,0.026398744583129883,30.5664062,23137036.676561784
2,Task 5,0.02550499439239502,15.3320312,90134881.60489339
2,Task 6,0.015221624374389649,15.3320312,362014.37283513957
2,Task 7,0.015032873153686524,7.71484375,218614.08163101203
2,Task 8,0.009385347366333008,7.71484375,383048.5183928812
2,Task 9,0.009438247680664062,3.90625,200744.99610659244
2,Task 10,0.006461811065673828,3.90625,336363.57553365914
2,Task 11,0.00648031234741211,1.953125,170293.46112537436
2,Task 12,0.004691257476806641,1.953125,272765.6100596977
2,Task 13,0.005340361595153808,0.9765625,135618.3947813013
2,Task 14,0.0043770503997802735,0.9765625,198086.88106025947
2,Task 15,0.004388885498046875,0.48828125,98760.67166046122
2,Task 16,0.003366870880126953,0.48828125,136423.97654874632
2,Task 17,0.00394927978515625,0.29296875,71905.24333566974
2,Task 18,0.0031490278244018554,0.29296875,87730.31263685624
2,Task 19,0.0038029098510742186,0.1953125,58329.158988978896
2,Task 20,0.003608689308166504,0.1953125,76034.99187065562
2,Task 21,0.0013907146453857422,0.000762939453,253.21072560080364
2,Task 22,0.0017036724090576172,0.0457763672,19053.499475317196
2,Task 23,0.001566634178161621,0.0915527344,31554.784283435816
2,Task 24,0.0017315959930419922,0.183105469,66506.14101271542
2,Task 25,0.00022295475006103515,0.000762939453,719.0547703785993
3,Task 1,0.001844310760498047,6.7024231,4763297.047417136
3,Task 2,0.05535763740539551,61.1328125,48535084.25330349
3,Task 3,0.04650773048400879,30.5664062,25970986.82229009
3,Task 4,0.02665131092071533,30.5664062,22945269.0168962
3,Task 5,0.025838470458984374,15.3320312,88070479.57703802
3,Task 6,0.015838780403137208,15.3320312,363021.2729787004
3,Task 7,0.015633416175842286,7.71484375,217426.21914171687
3,Task 8,0.009647212028503417,7.71484375,379418.48451965716
3,Task 9,0.009509730339050292,3.90625,198154.1441521245
3,Task 10,0.006340837478637696,3.90625,323257.2123410383
3,Task 11,0.006581740379333496,1.953125,163751.79750897115
3,Task 12,0.0046953105926513675,1.953125,265361.63944943744
3,Task 13,0.005304570198059082,0.9765625,134598.97960974462
3,Task 14,0.0042789697647094725,0.9765625,201866.07909638507
3,Task 15,0.0043007278442382816,0.48828125,97238.71850211296
3,Task 16,0.003281412124633789,0.48828125,136306.2117768448
3,Task 17,0.0035023880004882812,0.29296875,72390.40782993198
3,Task 18,0.0031192588806152346,0.29296875,89741.22770556017
3,Task 19,0.003799858093261719,0.1953125,59524.80818868025
3,Task 20,0.003559465408325195,0.1953125,78015.19293422188
3,Task 21,0.0013009929656982422,0.000762939453,285.519479812227
3,Task 22,0.0016509294509887695,0.0457763672,19235.33835965733
3,Task 23,0.0015426445007324218,0.0915527344,31580.12669283513
3,Task 24,0.001746068000793457,0.183105469,67425.85542162218
3,Task 25,0.0002281808853149414,0.000762939453,768.6436640057469
4,Task 1,0.0018115520477294921,6.7024231,4849432.844621095
4,Task 2,0.055592193603515624,61.1328125,50131891.232916765
4,Task 3,0.04670212745666504,30.5664062,26223399.89388331
4,Task 4,0.02673905372619629,30.5664062,23429369.910013914
4,Task 5,0.02603466510772705,15.3320312,87767850.78928734
4,Task 6,0.015474882125854492,15.3320312,361489.60307853617
4,Task 7,0.015106134414672852,7.71484375,216521.18545098265
