Group,Task Number,Latency (Server),Throughput (Server)
1,Task 1,9.984970092773438e-05,87982236.4851958
1,Task 2,0.004100675582885742,148355327.10273772
1,Task 3,0.002580385208129883,74201246.74608992
1,Task 4,0.001679844856262207,60706991.70393705
1,Task 5,0.001979794502258301,334957610.80909234
1,Task 6,0.0014796495437622071,4900655.902620312
1,Task 7,0.0016596317291259766,3918794.7474433887
1,Task 8,0.00118133544921875,6019603.514160249
1,Task 9,0.0012986087799072266,2586126.9915436916
1,Task 10,0.0009001541137695312,3460278.8353394237
1,Task 11,0.0010400533676147461,1542510.8806206004
1,Task 12,0.0008999967575073242,2167039.0080082663
1,Task 13,0.0010000324249267577,985670.2186253846
1,Task 14,0.0008200836181640625,1421978.7261092511
1,Task 15,0.0009798955917358397,615353.0385347179
1,Task 16,0.0007816505432128906,711113.6730898629
1,Task 17,0.0008580923080444336,383987.5492318403
1,Task 18,0.0008201265335083008,468244.9344125035
1,Task 19,0.0009300851821899414,261252.3233689702
1,Task 20,0.000800185203552246,327512.08608867525
1,Task 21,0.0003800058364868164,1165.3757883915423
1,Task 22,0.0005401086807250977,73159.44253545202
1,Task 23,0.0005399370193481445,129020.4405981964
1,Task 24,0.0006599569320678711,299930.56474247813
1,Task 25,5.9995651245117184e-05,2631.538529105442
2,Task 1,0.00010004043579101563,87814491.51572926
2,Task 2,0.003901114463806152,121396440.94984215
2,Task 3,0.0025202274322509766,77053151.74703325
2,Task 4,0.0017399787902832031,57233755.48562009
2,Task 5,0.0018593263626098633,inf
2,Task 6,0.0015398502349853516,5151348.46373956
2,Task 7,0.0014998579025268554,4012336.2957637217
2,Task 8,0.00110015869140625,5811565.092902165
2,Task 9,0.0011598491668701172,2753685.4760738495
2,Task 10,0.0009201240539550782,3324998.6808286626
2,Task 11,0.0009399843215942383,1706828.3573311123
2,Task 12,0.0007199668884277344,2326937.031900139
2,Task 13,0.0008999347686767578,1103591.7743115795
2,Task 14,0.0007199382781982422,1391116.7678945295
2,Task 15,0.0009598875045776367,680862.4200396695
2,Task 16,0.0006600189208984375,888929.7692531856
2,Task 17,0.0008703041076660157,426697.5933873788
2,Task 18,0.000800013542175293,533379.0571061451
2,Task 19,0.0008199596405029297,266697.9190573414
2,Task 20,0.0006801223754882812,387867.66847763263
2,Task 21,0.0004999971389770508,1149.0236472418856
2,Task 22,0.0006600522994995117,74998.73044255699
2,Task 23,0.0005199527740478516,146348.66653485154
2,Task 24,0.0007000064849853516,352877.6712098267
2,Task 25,0.0,2000.011444157281
3,Task 1,0.0002001047134399414,43902014.34528774
3,Task 2,0.004010939598083496,166890718.40618142
3,Task 3,0.002500648498535156,83471887.42760067
3,Task 4,0.0017394495010375976,83488476.13501993
3,Task 5,0.0018598222732543945,335010863.21144676
3,Task 6,0.0014797735214233398,5010297.340204838
3,Task 7,0.0015197181701660156,4043751.0533461478
3,Task 8,0.0011600065231323242,5813333.467840313
3,Task 9,0.001139988899230957,2752951.2220760807
3,Task 10,0.0009231328964233399,3459988.927951123
3,Task 11,0.0010570573806762695,1684522.8610514954
3,Task 12,0.0007800674438476563,2206884.1415540692
3,Task 13,0.0009195661544799805,1122817.9510024134
3,Task 14,0.0007200241088867188,1386582.5873602107
3,Task 15,0.0008599281311035157,605454.360094009
3,Task 16,0.0007402515411376953,820441.8797985232
3,Task 17,0.0007599306106567383,417588.2269363796
3,Task 18,0.0008399581909179687,533315.4754966887
3,Task 19,0.0007798528671264649,297699.29688366415
3,Task 20,0.0006600093841552735,345828.3918011878
3,Task 21,0.0004801225662231445,1315.9096185581889
3,Task 22,0.0004801225662231445,71432.12679958218
3,Task 23,0.00047996997833251956,153875.179611977
3,Task 24,0.0004798746109008789,363631.19337639253
3,Task 25,5.9986114501953124e-05,2082.801497680978
4,Task 1,0.00020003318786621094,43917712.324195474
4,Task 2,0.0037006711959838867,190803446.64017257
4,Task 3,0.0027003002166748045,62596142.12447663
4,Task 4,0.0016194295883178711,87088422.86555345
4,Task 5,0.0019201850891113282,167558709.41475827
4,Task 6,0.001319584846496582,5430366.259452871
4,Task 7,0.0017000627517700195,3744768.799245622
4,Task 8,0.0010697221755981445,6244173.919598138
4,Task 9,0.0010804080963134767,2666409.6232356243
4,Task 10,0.0008797645568847656,3880008.1810527686
4,Task 11,0.0008801746368408203,1505826.7686499555
4,Task 12,0.000800180435180664,2393144.7420621654
4,Task 13,0.0008798599243164063,1184737.5120267633
4,Task 14,0.0008200836181640625,1454934.7208672087
4,Task 15,0.0007997989654541015,727128.4279414474
4,Task 16,0.000640096664428711,799819.6055062274
4,Task 17,0.0008800077438354492,436433.1064383265
4,Task 18,0.000779886245727539,468244.9344125035
4,Task 19,0.0006599998474121093,320080.43403088296
4,Task 20,0.0007601642608642578,399939.5938556891
4,Task 21,0.0002999687194824219,1136.35363666412
4,Task 22,0.0004199504852294922,76934.29692945449
4,Task 23,0.0006400394439697266,181818.22385342311
4,Task 24,0.0004600381851196289,315721.2359959352
4,Task 25,0.00011993408203125,3333.6809308831944
5,Task 1,0.0003000497817993164,29278474.88279698
5,Task 2,0.0040608406066894535,148376286.2405411
5,Task 3,0.0025008678436279296,87102868.23483066
5,Task 4,0.0018393611907958985,66776581.17196379
5,Task 5,0.0020394039154052732,334744770.38919777
5,Task 6,0.0015402555465698243,4948729.08010615
5,Task 7,0.0016394758224487305,4043396.385684596
5,Task 8,0.001139988899230957,5497560.81111209
5,Task 9,0.001350255012512207,2510537.496434367
5,Task 10,0.0009398078918457032,3324123.721808585
5,Task 11,0.001100144386291504,1561474.6890114972
5,Task 12,0.0008400774002075195,2245635.902004827
5,Task 13,0.0009598684310913086,947969.0785361392
5,Task 14,0.0007798957824707031,1361980.4761228259
5,Task 15,0.0009201240539550782,581741.822232432
5,Task 16,0.0008597898483276367,761834.5641031463
5,Task 17,0.0008803415298461914,400054.827892836
5,Task 18,0.0008403730392456055,492373.4794198929
5,Task 19,0.0008401012420654297,278223.3535789059
5,Task 20,0.0007996988296508789,297747.17682226823
5,Task 21,0.00033991336822509767,1135.9227823487035
5,Task 22,0.0005400323867797851,71396.86448515936
5,Task 23,0.0004599618911743164,142839.9268937803
5,Task 24,0.000599970817565918,300112.9814142354
